City,PM2.5_x,PM10_x,NO_x,NO2_x,NOx_x,NH3_x,CO_x,SO2_x,O3_x,AQI,AQI_Bucket_x,Date,PM2.5_y,PM10_y,NO_y,NO2_y,NOx_y,NH3_y,CO_y,SO2_y,O3_y,Benzene,Toluene,Xylene,AQI_chem
Delhi,153.3,241.7,182.9,33.0,81.3,38.5,1.87,64.5,83.6,325.8,Very Poor,2015-01-01,313.22,607.98,69.16,36.39,110.59,33.85,15.2,9.25,41.68,14.36,24.86,9.84,472.0
Mumbai,70.5,312.7,195.0,42.0,122.5,31.5,7.22,83.8,108.0,262.7,Poor,2015-01-01,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,27.38,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,174.1,275.4,56.2,68.8,230.9,28.5,8.56,60.8,43.9,341.8,Very Poor,2015-01-01,74.80060088202866,167.82286741214057,16.3,15.39,22.68,4.59,1.17,9.2,11.35,0.17,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,344.2,173.2,179.8,128.4,156.1,15.6,6.28,7.5,9.4,494.2,Severe,2015-01-02,186.18,269.55,62.09,32.87,88.14,31.83,9.54,6.65,29.97,10.55,20.09,4.29,454.0
Mumbai,59.2,335.7,182.1,143.8,207.3,44.8,5.81,6.4,145.5,285.7,Poor,2015-01-02,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.2,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,418.9,573.8,23.8,17.5,43.0,22.5,4.49,9.5,198.7,276.4,Poor,2015-01-02,74.80060088202866,167.82286741214057,16.49,13.42,23.09,7.83,1.23,8.61,9.16,0.13,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,473.9,20.1,12.7,102.7,244.7,42.5,0.04,29.8,42.0,122.7,Moderate,2015-01-03,87.18,131.9,25.73,30.31,47.95,69.55,10.61,2.65,19.71,3.91,10.23,1.99,143.0
Mumbai,191.0,200.5,21.5,141.3,235.8,8.6,8.54,89.0,129.8,354.7,Very Poor,2015-01-03,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.04,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,86.6,531.8,99.1,92.8,62.4,49.8,1.12,9.9,45.5,188.4,Moderate,2015-01-03,74.80060088202866,167.82286741214057,9.72,19.56,9.99,4.63,0.77,48.23,13.45,0.03,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,381.0,Very Poor,2015-01-04,151.84,241.84,25.01,36.91,48.62,130.36,11.54,4.63,25.36,4.26,9.71,3.34,319.0
Mumbai,177.3,30.8,164.9,149.3,83.5,37.4,8.63,30.7,75.7,344.2,Very Poor,2015-01-04,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,25.97,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,417.0,361.9,118.5,145.1,120.8,28.9,6.22,11.4,14.4,314.7,Very Poor,2015-01-04,74.80060088202866,167.82286741214057,9.6,16.2,11.71,5.23,1.0,27.96,10.33,3.290950354609929,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,312.8,155.8,143.1,106.8,6.1,4.9,4.04,2.0,101.3,462.8,Severe,2015-01-05,146.6,219.13,14.01,34.92,38.25,122.88,9.2,3.33,23.2,2.8,6.21,2.96,325.0
Mumbai,335.4,582.7,144.2,37.2,130.3,22.9,6.83,91.6,30.9,485.4,Severe,2015-01-05,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,25.18,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,123.3,126.0,137.4,140.7,214.5,20.8,9.55,68.7,166.5,302.8,Very Poor,2015-01-05,74.80060088202866,167.82286741214057,9.16,16.3,12.94,5.5,0.9,16.6,9.36,3.290950354609929,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,390.7,91.4,170.3,131.8,83.5,46.0,1.17,84.1,177.5,222.6,Poor,2015-01-06,149.58,252.1,17.21,37.84,42.46,134.97,9.44,3.66,26.83,3.63,7.35,3.47,318.0
Mumbai,162.6,202.8,35.6,49.4,58.0,9.5,9.6,23.7,60.1,332.9,Very Poor,2015-01-06,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,26.41,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,179.9,275.3,136.4,13.9,118.3,21.8,7.44,98.0,148.0,346.2,Very Poor,2015-01-06,74.80060088202866,167.82286741214057,30.58,35.6,13.42,5.46,0.91,21.98,12.61,0.57,9.226440829460136,1.056325369738339,170.37583148558758
Delhi,282.3,420.9,165.9,134.7,165.5,25.8,1.15,15.7,85.2,432.3,Severe,2015-01-07,217.87,376.51,26.99,40.15,52.41,134.82,9.78,5.82,28.96,4.93,9.42,5.21,353.0
